"tick","Human Count","Zombie Count"
1.0,100,5
2.0,100,5
3.0,100,5
4.0,99,6
5.0,99,6
6.0,99,6
7.0,99,6
8.0,99,6
9.0,99,6
10.0,99,6
11.0,99,6
12.0,98,7
13.0,98,7
14.0,98,7
15.0,98,7
16.0,98,7
17.0,98,7
18.0,97,8
19.0,96,9
20.0,96,9
21.0,96,9
22.0,96,9
23.0,96,9
24.0,96,9
25.0,96,9
26.0,96,9
27.0,96,9
28.0,96,9
29.0,96,9
30.0,96,9
31.0,96,9
32.0,96,9
33.0,96,9
34.0,96,9
35.0,96,9
36.0,96,9
37.0,96,9
38.0,96,9
39.0,96,9
40.0,96,9
41.0,95,10
42.0,95,10
43.0,95,10
44.0,95,10
45.0,95,10
46.0,95,10
47.0,95,10
48.0,95,10
49.0,95,10
50.0,95,10
51.0,95,10
52.0,95,10
53.0,95,10
54.0,95,10
55.0,95,10
56.0,95,10
57.0,95,10
58.0,95,10
59.0,95,10
60.0,95,10
61.0,95,10
62.0,94,11
63.0,94,11
64.0,94,11
65.0,93,12
66.0,93,12
67.0,92,13
68.0,92,13
69.0,92,13
70.0,92,13
71.0,92,13
72.0,92,13
73.0,92,13
74.0,92,13
75.0,92,13
76.0,92,13
77.0,92,13
78.0,92,13
79.0,92,13
80.0,92,13
81.0,92,13
82.0,92,13
83.0,92,13
84.0,91,14
85.0,91,14
86.0,90,15
87.0,90,15
88.0,90,15
89.0,90,15
90.0,89,16
91.0,89,16
92.0,89,16
93.0,88,17
94.0,88,17
95.0,87,18
96.0,87,18
97.0,87,18
98.0,86,19
99.0,86,19
100.0,83,22
101.0,83,22
102.0,83,22
103.0,83,22
104.0,83,22
105.0,83,22
106.0,80,25
107.0,79,26
108.0,79,26
109.0,78,27
110.0,76,29
111.0,76,29
112.0,76,29
113.0,76,29
114.0,76,29
115.0,76,29
116.0,76,29
117.0,75,30
118.0,75,30
119.0,75,30
120.0,74,31
