"tick","Human Count","Zombie Count"
1.0,100,5
2.0,100,5
3.0,100,5
4.0,100,5
5.0,100,5
6.0,100,5
7.0,100,5
8.0,100,5
9.0,100,5
10.0,100,5
11.0,100,5
12.0,100,5
13.0,100,5
14.0,100,5
15.0,100,5
16.0,100,5
17.0,100,5
18.0,100,5
19.0,100,5
20.0,100,5
21.0,100,5
22.0,100,5
23.0,100,5
24.0,100,5
25.0,100,5
26.0,99,6
27.0,99,6
28.0,99,6
29.0,98,7
30.0,98,7
31.0,98,7
32.0,97,8
33.0,97,8
34.0,97,8
35.0,97,8
36.0,97,8
37.0,97,8
38.0,97,8
39.0,97,8
40.0,97,8
41.0,97,8
42.0,97,8
43.0,97,8
44.0,97,8
45.0,97,8
46.0,97,8
47.0,97,8
48.0,97,8
49.0,97,8
50.0,97,8
51.0,97,8
52.0,97,8
53.0,97,8
54.0,96,9
55.0,96,9
56.0,96,9
57.0,96,9
58.0,96,9
59.0,96,9
60.0,96,9
61.0,96,9
62.0,95,10
63.0,94,11
64.0,94,11
65.0,94,11
66.0,94,11
67.0,94,11
68.0,94,11
69.0,94,11
70.0,94,11
71.0,93,12
72.0,93,12
73.0,93,12
74.0,93,12
75.0,93,12
76.0,93,12
77.0,93,12
78.0,92,13
79.0,92,13
80.0,91,14
81.0,91,14
82.0,91,14
83.0,91,14
84.0,90,15
85.0,90,15
86.0,90,15
87.0,90,15
88.0,90,15
89.0,90,15
90.0,89,16
91.0,89,16
92.0,89,16
93.0,89,16
94.0,89,16
95.0,89,16
96.0,88,17
97.0,87,18
98.0,86,19
99.0,85,20
100.0,84,21
101.0,84,21
102.0,84,21
103.0,84,21
104.0,84,21
105.0,84,21
106.0,84,21
107.0,83,22
108.0,83,22
109.0,83,22
110.0,82,23
111.0,82,23
112.0,82,23
113.0,82,23
114.0,82,23
115.0,82,23
116.0,81,24
117.0,81,24
118.0,81,24
119.0,80,25
120.0,80,25
